canon_entry_id,source_candidate_id,candidate_type,cluster_id,content,entity,predicate,supporting_count,provenance_source_lane,provenance_conversation_uuids,provenance_earliest,provenance_most_recent,review_status,reviewer_notes,promoted_at,promoter,origin_run_id
0130f129f92d423aac4f20910ad1d6bc,22cc59aa53efcc3b,decision,79801e1dbd643937,I will use the corrected BZT/BZC based on previous context or flag it.,,,1,claude,6d40d864-c295-4be0-9c07-12b958e3d4b4,2026-03-01T13:43:49.922689Z,2026-03-01T13:43:49.922689Z,approved,Strong terminology-correction discipline. Use corrected BZT/BZC based on prior context or explicitly flag uncertainty. Promote as a canon-language accuracy rule for BIZRA token terminology.,2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
04a3a3d69682e6ed005ec4b4e730ee9e,a19083e90a29d554,decision,4af798871f457ef5,"Use only numbers that have a verifiable source chain, and print the source chain into the wording.",,,1,claude,5c5ab192-5fbf-403f-9c70-d96f15cf7d99,2026-04-13T16:58:08.516651Z,2026-04-13T16:58:08.516651Z,approved,Strong evidence-discipline decision. Only use numbers with a verifiable source chain and print the source chain into the wording. Promote as a provenance/trust rule.,2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
06f4fc4712dfa29671800d5019d59887,209a869fe475d21b,hypothesis,,"URP is the singular shared constitutional/world layer
That is cleaner than drawing PAT and SAT as if they are peer tenants in the same room.",,fact,1,claude,a7284cb2-9e2f-44bc-b9a4-91f2e6ca0607,2026-04-04T17:03:51.683313Z,2026-04-04T17:03:51.683313Z,approved,"Strong architecture-topology hypothesis. URP as the singular shared constitutional/world layer is cleaner than modeling PAT and SAT as peer tenants. Promote as a constitutional-layer doctrine, with later wording cleanup.",2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
0fbc12dd20ccd492633d70997021b89b,6c0209cd2275678c,fact,b2d31175a2eac913,"Spec is the source of truth, not conversation history.",spec,"source of truth, not conversation history",2,claude,f86e151d-623b-4b29-a7ab-9246254d44a8,2026-02-17T22:51:53.723162Z,2026-02-17T22:51:53.723162Z,approved,Strong engineering/canon discipline principle with supporting_count=2. Spec is source of truth over conversation history; this protects against memory drift and chat-history overreach.,2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
117590b7ad0e07613ca675e2d88d5695,320ebc6afa125a6e,fact,2648e70452bf481b,BIZRA is a standalone **Distributed Decentralized Artificial General Intelligence Operating System**.,bizra,standalone **distributed decentralized artificial general intelligence operating,3,claude,5bd74831-8d56-4ed4-9005-c5fe2cd0ea77,2026-03-13T18:06:29.947011Z,2026-03-13T18:06:56.455469Z,approved,"Strong canonical candidate with supporting_count=3. Defines BIZRA as a standalone distributed decentralized AGI operating system, aligned with the sovereign OS direction. Promote as high-level identity statement.",2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
13c57b1d4a9d53ee93fa832ae621a4f5,f36046bc50834dda,fact,02d559e1d41ce3a6,"BIZRA is a constitutional intelligence substrate whose purpose is to convert intent into evidence-bearing, ethically gated action.",bizra,constitutional intelligence substrate whose purpose is to convert intent into ev,1,claude,798d9c06-9f6b-4980-b219-2c2ea4d74162,2026-04-01T02:28:11.599326Z,2026-04-01T02:28:11.599326Z,approved,"Strong canonical candidate. Defines BIZRA as a constitutional intelligence substrate and ties the system purpose to intent, evidence, ethical gates, and action. Promote despite supporting_count=1 because it matches the core constitutional spine.",2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
2d99d3d474f61e7a03ec5b9712742d0c,5e870eabccce3001,decision,9a7ed725e5534a4a,Use exact path/module import checks instead.,,,1,claude,0623f101-8bad-4e39-95ab-b48b880e37b2,2026-03-04T01:38:00.615363Z,2026-03-04T01:38:00.615363Z,approved,Strong engineering discipline rule. Exact path/module import checks reduce ambiguity and prevent broken assumptions during code review and integration. Promote as implementation verification guardrail.,2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
32d4b20638232847e6b2ef5ab23975fc,ff6978fdb8fcf8e4,decision,8fb5e226112b7966,"Use incremental solving for repeated verification
- Create abstraction refinement for complex state spaces
- Introduce compositional verification for agent systems

### 1.",,,1,claude,f9bbe910-25bf-42b2-b5da-013a03754b53,2025-05-30T18:54:50.529131Z,2025-05-30T18:54:50.529131Z,approved,"Strong verification-method candidate. Incremental solving, abstraction refinement, and compositional verification for agent systems are durable safety/verification principles. Promote as a formal-verification direction, while later tightening wording.",2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
330d8747eb766aea9eb9d209f5323e4f,d887fc059c8fe431,decision,9c331ae4beb4edfd,Use human-in-the-loop approvals for high-impact actions.,,,1,claude,33424d69-38ba-4e66-83c3-965ef5ad0470,2026-02-22T18:09:17.957360Z,2026-02-22T18:09:17.957360Z,approved,Strong safety/governance rule. Human-in-the-loop approvals for high-impact actions are durable and aligned with BIZRA's ethical execution and no-autonomous-harm discipline. Promote.,2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
4629f734eb963a7c2abaab881207f706,984b506219eff5ad,fact,9be6e8b76c801a51,Genesis is a one-time ceremony — throughput optimization is not relevant.,genesis,one-time ceremony — throughput optimization is not relevant,1,claude,73861e4f-bd79-4885-af3a-8f7f63cd9ebf,2026-02-15T17:14:25.536051Z,2026-02-15T17:14:25.536051Z,approved,Strong Genesis doctrine statement. Clarifies that Genesis is a one-time ceremony and should not be optimized as a normal throughput path. Promote as a lifecycle/canonical ceremony rule.,2026-04-24T05:32:25Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
