claim_id,category,theme,source,line,excerpt,risk,action,safe_replacement
C00004,Production-readiness implication,Production readiness,docs/BATCHING_QUICK_START.md,,# Inference Batching - Quick Start Guide  **Status:** ✓ PRODUCTION READY **Performance:** 4.5x - 9x throughput improvement **Default,Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00007,Production-readiness implication,Production readiness,docs/ELITE_ASSESSMENT_v2.2.0.md,,+ Multi-Agent Swarm Analysis **Status:** ✅ FATE-CERTIFIED | Production-Ready with Remediation Roadmap  ---  ``` ╔═══════════════════════,Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00008,Production-readiness implication,Production readiness,docs/ELITE_ASSESSMENT_v2.2.0.md,,----------|-------|---------| | **Architecture** | 96/100 | Production-ready polyglot sovereignty stack | | **Security** | 87/100 | 2 CR,Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00009,Production-readiness implication,Production readiness,docs/ELITE_ASSESSMENT_v2.2.0.md,,age | 8 new tests | | Integration tests | 5 new scenarios | Live fire expansion |  ### Week 5-8: Scalability Hardening  | Ta,Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00029,Production-readiness implication,Production readiness,docs/bizra-now-vs-future-image-v1.md,,"**Integrated now** — what is on origin, proven by tests or live verification, or sealed by ADR - **Future image** — what is",Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00030,Production-readiness implication,Production readiness,docs/bizra-now-vs-future-image-v1.md,,"le-read projection over Python-authored `sovereign_state/`, live-verified against real 2026-04-13 activation chain - ✅ **Dur",Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00031,Production-readiness implication,Production readiness,docs/bizra-now-vs-future-image-v1.md,,trospective (reward 0.998): `cycle-6/retrospective.md` - G1 live-verification: `cycle-6/g1-live-verification.md`  ## Signatu,Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00032,Production-readiness implication,Production readiness,docs/bizra-now-vs-future-image-v1.md,,cle-6/retrospective.md` - G1 live-verification: `cycle-6/g1-live-verification.md`  ## Signature  Filed: Mumo (Muhammad Beshr,Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00037,Production-readiness implication,Production readiness,docs/PROJECT_HANDOVER.md,,"iance validation | 53 | | **Q4 2026** | Federation protocol live, multi-node network | 54 | | **2027** | Public beta, market",Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00038,Exact SNR number,Benchmark / performance superiority,docs/PROJECT_HANDOVER.md,,-|----------|-----------| | GoT synthesis fallback produces SNR 0.083 | Mission quality scoring underreports | P1 | RLM-powered G,Unsupported quantitative benchmark,REWRITE to directional + receipt-link,"Replace ‘SNR 0.974’ with ‘a signal-to-noise discipline that keeps outputs tied to evidence (live score published on the status page)’. If kept exact, require a live published receipt."
C00083,Production-readiness implication,Production readiness,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,"-proofspace` | Block validation, RFC 8785 canonicalization, LIVE/DEAD/PENDING verdicts | | `bizra-telescript` | Mobile agent",Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00084,Exact SNR number,Benchmark / performance superiority,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,"LOC | ~390,000 | Combined Python + Rust | | Quality gates | SNR 0.90, Ihsan 0.96, Coverage 56.65% | CI enforced (`.github/workfl",Unsupported quantitative benchmark,REWRITE to directional + receipt-link,"Replace ‘SNR 0.974’ with ‘a signal-to-noise discipline that keeps outputs tied to evidence (live score published on the status page)’. If kept exact, require a live published receipt."
C00085,Exact SNR number,Benchmark / performance superiority,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,", ethicist, evaluator) All benchmarks: task_completion 1.0, SNR 0.95 Chain ID: bizra-main-alpha ```  Each attestation includes:",Unsupported quantitative benchmark,REWRITE to directional + receipt-link,"Replace ‘SNR 0.974’ with ‘a signal-to-noise discipline that keeps outputs tied to evidence (live score published on the status page)’. If kept exact, require a live published receipt."
C00086,Exact SNR number,Benchmark / performance superiority,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,"s** | Cryptographically-enforced, not advisory (Ihsan 0.96, SNR 0.90) | | **Sovereignty** | Local-first by design, federate-when",Unsupported quantitative benchmark,REWRITE to directional + receipt-link,"Replace ‘SNR 0.974’ with ‘a signal-to-noise discipline that keeps outputs tied to evidence (live score published on the status page)’. If kept exact, require a live published receipt."
C00093,Production-readiness implication,Production readiness,docs/MY_COMPLETE_SEASON_FOLDER_MAP.md,,"sequentially., Target: Wire 5 remaining terminal views with live data + demo fallback., Time: ~2 hours. Zero new architectur",Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00094,Production-readiness implication,Production readiness,docs/BIZRA_Pitch_Deck_Script.md,,"ipts. SEED settlement for verified work. The moment this is live, BIZRA moves from a sovereign personal OS to a network.  Th",Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00095,Explicit cost figure,Scarcity / waitlist pressure,docs/BIZRA_Pitch_Deck_Script.md,,ion as of March 2026.  Perplexity Computer is cloud-only at $200 per month. No ownership. No local execution. No economic layer.  Clau,Unsupported economic claim (platform-policy: ‘unsupported economic claim’),REMOVE hard $ figures from public surfaces,Replace ‘$0.10 → $0.008 per action’ with ‘Designed to make verified action radically cheaper than cloud AI.’ Keep precise numbers in investor/internal docs only.
C00104,Production-readiness implication,Production readiness,docs/bizra-trust-compiler-thesis.md,,"e transition was canonicalized?  As of Cycle-5 G3: **yes**, live-verified via curl and via the dema CLI. Receipt `38037484..",Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
C00140,Production-readiness implication,Production readiness,docs/INTEGRATION_CONTRACTS.md,,"to-noise ratio [0.0, 1.0].             ttl_seconds: Time-to-live in seconds.          Returns:             Signed PCIEnvelop",Readiness overclaim (PRODUCTION READY / DEPLOY NOW / ENTERPRISE-READY) before external validation,REWRITE to stage-accurate wording,"Replace ‘PRODUCTION READY’ with ‘tested locally, pending external validation’, ‘beta on selected Node0 hosts’, or ‘alpha with known limits X, Y’."
