rank,conversation_uuid,name,signal_score,turn_count,user_turn_count,total_chars,topic_buckets
1,abbc7902-717a-44ed-9c8a-cd86157935b0,Command syntax reference,264.5,267,131,799843,uncategorized
2,7f554703-77fe-4cae-b6c4-f6c78b1b28cb,Linux migration boot issue,244.0,244,122,128394,uncategorized
3,051101b7-7ba8-428a-a9ab-33dfcfbbf8ef,Semantic Synonym Generator,243.0,242,122,135650,uncategorized
4,33424d69-38ba-4e66-83c3-965ef5ad0470,Persistence,239.0,240,119,983110,uncategorized
5,1d1bb4b9-c3af-4cc7-93dc-d0218880c523,Command shortcuts reference,221.0,230,106,797154,uncategorized
6,a895785a-4b81-4263-9925-cde511bcf417,Command shortcuts reference,212.5,215,105,707203,uncategorized
7,b4abfb40-a332-4314-8cdb-58c7cac6e174,Ubuntu 24.04 partition verification for RAID 0 migration,199.0,200,99,342269,bizra_architecture
8,59945155-cdd9-4aa7-824f-54ea4ac27064,Saturday schedule codes,182.0,182,91,653506,uncategorized
9,0623f101-8bad-4e39-95ab-b48b880e37b2,Command shortcuts reference,154.5,165,72,519126,uncategorized
10,537a4cd4-3376-45e3-8fb2-f9a9b83d3529,Reverse engineering autonomous AI agents,151.0,152,75,631345,llm_tools_meta
11,04b7c64f-401d-4537-aabb-2c2deca0391b,Installing llmfit with all dependencies,144.0,140,74,466062,uncategorized
12,73861e4f-bd79-4885-af3a-8f7f63cd9ebf,Signal-to-noise optimization in recursive thought systems,143.5,147,70,383212,bizra_architecture|validation_sprint|code_implementation
13,f86e151d-623b-4b29-a7ab-9246254d44a8,Command shortcuts reference,131.5,135,64,642628,uncategorized
14,82c400d7-b9b3-4741-bfc2-4d5225b53c4a,Keyboard shortcuts and timestamps,123.5,125,61,490704,uncategorized
15,895beb73-4c58-4bd8-80da-66c86480ac73,Keyboard shortcuts reference,120.5,123,59,663031,uncategorized
16,148fc35d-346d-41a4-ab82-c3513070f85c,Keyboard symbols and special characters,118.0,118,59,427510,uncategorized
