finding_id,pattern_class,classification,severity,path,line,redacted_preview,rotation_required,safe_to_ignore,recommended_action
S0001,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/auth/user_store.py,66,[REDACTED:31],no,yes,tighten DOTENV_LIKE regex
S0002,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/token/bloom.py,35,[REDACTED:29]  # 2.5% annual Zakat,no,yes,tighten DOTENV_LIKE regex
S0003,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/token/types.py,62,[REDACTED:39],no,yes,tighten DOTENV_LIKE regex
S0004,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/iaas/sanitization.py,39,[REDACTED:23] # nosec B105,no,yes,respect # nosec marker
S0005,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/iaas/sanitization.py,40,[REDACTED:25] # nosec B105,no,yes,respect # nosec marker
S0006,PGP_PRIVATE_KEY_BLOCK,FALSE_POSITIVE_SELF_REFERENCE,INFORMATIONAL,tools/audit/omni_audit/secret_pattern_scanner.py,18,scanner regex literal,no,yes,scanner self-exclusion
S0007,CERT_BLOCK,FALSE_POSITIVE_SELF_REFERENCE,INFORMATIONAL,tools/audit/omni_audit/secret_pattern_scanner.py,31,scanner regex literal,no,yes,scanner self-exclusion
S0008,POSTGRES_URL_WITH_PASSWORD,PLACEHOLDER,INFORMATIONAL,tools/engines/omega_blueprint.py,1107,DATABASE_URL: [REDACTED:36]:5432/test,no,yes,CI-test template; allow-list
S0009,POSTGRES_URL_WITH_PASSWORD,ENV_SUBSTITUTION,INFORMATIONAL,deploy/node0/node0-manifest.yaml,302,${POSTGRES_PASSWORD} template,no,yes,no action
S0010,POSTGRES_URL_WITH_PASSWORD,ENV_SUBSTITUTION,INFORMATIONAL,deploy/node0/systemd-services/bizra-api.service,53,${POSTGRES_PASSWORD} systemd env,no,yes,no action
S0011,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,scripts/start_mission_bridge.sh,24,SECRETS_FILE= path var,no,yes,tighten regex
S0012,POSTGRES_URL_WITH_PASSWORD,ENV_SUBSTITUTION,INFORMATIONAL,deploy/node0/node0-manifest.yaml,302,duplicate of S0009,no,yes,dedup by (path,line)
S0013,POSTGRES_URL_WITH_PASSWORD,ENV_SUBSTITUTION,INFORMATIONAL,deploy/node0/systemd-services/bizra-api.service,53,duplicate of S0010,no,yes,dedup by (path,line)
S0014,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,terminal/bloom.py,35,TOKEN_ZAKAT_RATE alias,no,yes,tighten regex
S0015,PRIVATE_KEY_BLOCK,DETECTION_EVENT_LOG,LOW,.claude/logs/audit.jsonl,398,user_prompt log record,no,yes,exclude .claude/logs/ + optional log hygiene
S0016,POSTGRES_URL_WITH_PASSWORD,PLACEHOLDER,INFORMATIONAL,.claude/skills/flow-nexus-platform/SKILL.md,388,user:pass@host doc example,no,yes,no action
S0017,PGP_PRIVATE_KEY_BLOCK,FALSE_POSITIVE_SELF_REFERENCE,INFORMATIONAL,tools/audit/omni_audit/secret_pattern_scanner.py,18,duplicate of S0006,no,yes,scanner self-exclusion
S0018,CERT_BLOCK,FALSE_POSITIVE_SELF_REFERENCE,INFORMATIONAL,tools/audit/omni_audit/secret_pattern_scanner.py,31,duplicate of S0007,no,yes,scanner self-exclusion
S0019,POSTGRES_URL_WITH_PASSWORD,PLACEHOLDER,INFORMATIONAL,tools/engines/omega_blueprint.py,1107,duplicate of S0008,no,yes,allow-list
S0020,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/auth/user_store.py,66,duplicate of S0001,no,yes,tighten regex
S0021,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/token/bloom.py,35,duplicate of S0002,no,yes,tighten regex
S0022,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/token/types.py,62,duplicate of S0003,no,yes,tighten regex
S0023,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/iaas/sanitization.py,39,duplicate of S0004,no,yes,respect # nosec marker
S0024,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,core/iaas/sanitization.py,40,duplicate of S0005,no,yes,respect # nosec marker
S0025,DOTENV_LIKE,PLACEHOLDER,INFORMATIONAL,skills/crypto-token-creator/references/ethereum.md,611,[REDACTED:51] markdown example,no,yes,no action
S0026,DOTENV_LIKE,PLACEHOLDER,INFORMATIONAL,docs/specs/_experimental/bizra-harness/phase_1_types.md,37,[REDACTED:39] spec example,no,yes,no action
S0027,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,runtime/constellation/protocols/constellation_handshake.py,107,API_KEY = apiKey enum,no,yes,tighten regex
S0028,POSTGRES_URL_WITH_PASSWORD,DEV_DEFAULT_CREDENTIAL,MEDIUM,runtime/tools/kg_seed_from_concept_graph.py,12,docstring Usage example with committed dev pw,no,no,move to .env.example
S0029,POSTGRES_URL_WITH_PASSWORD,DEV_DEFAULT_CREDENTIAL,MEDIUM,runtime/tools/kg_seed_from_concept_graph.py,36,source-code fallback with committed dev pw,no,no,remove fallback; fail-fast if env unset
S0030,POSTGRES_URL_WITH_PASSWORD,DEV_DEFAULT_CREDENTIAL,MEDIUM,runtime/core/autoconfig.py,330,source-code fallback with committed dev pw,no,no,remove fallback
S0031,POSTGRES_URL_WITH_PASSWORD,DEV_DEFAULT_CREDENTIAL,MEDIUM,runtime/core/pci/receipt_store_persistent.py,1148,source-code fallback with committed dev pw,no,no,remove fallback
S0032,POSTGRES_URL_WITH_PASSWORD,DEV_DEFAULT_CREDENTIAL,MEDIUM,runtime/config/substrate_v1.yaml,19,config-level default_dsn with committed dev pw,no,no,replace with env-required stanza
S0033,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,scripts/start_mission_bridge.sh,24,duplicate of S0011,no,yes,tighten regex
S0034,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,bizra-node0/core/token/types.py,59,mirror of S0003 in bizra-node0 tree,no,yes,tighten regex
S0035,DOTENV_LIKE,FALSE_POSITIVE_NAME_COLLISION,INFORMATIONAL,.tmp_prod_artifacts_v2/tools/conformance/test_conformance.py,7,env-fetch with empty default,no,yes,exclude .tmp_prod_artifacts_v2/ from scan
