claim_id,category,source,line,excerpt,risk,action,safe_replacement,launch_impact
C00036,Unsubstantiated certification,docs/PROJECT_HANDOVER.md,,",600+ lines). Investor-grade architecture with C4 diagrams, ISO 27001 risk registers, Lyapunov stability proofs | | **Jan 2026 –",Vague universal / fake credential,REMOVE unless certification exists with receipt,"Replace ‘ISO 27001’, ‘SOC 2’, ‘investor-grade’ with verifiable language: ‘ISO 27001-aligned risk register’ (only if register is published), or remove entirely until audited.","Blocks enterprise sales, investor due diligence. One exposed false certification claim falsifies the rest of the deck."
C00145,Unsubstantiated certification,docs/THREAT-MODEL-V3.md,,"-------| | GDPR | Data encryption, audit logs | PARTIAL | | SOC 2 | Access controls, monitoring | PARTIAL | | ISO 27001 | Com",Vague universal / fake credential,REMOVE unless certification exists with receipt,"Replace ‘ISO 27001’, ‘SOC 2’, ‘investor-grade’ with verifiable language: ‘ISO 27001-aligned risk register’ (only if register is published), or remove entirely until audited.","Blocks enterprise sales, investor due diligence. One exposed false certification claim falsifies the rest of the deck."
C00146,Unsubstantiated certification,docs/THREAT-MODEL-V3.md,,"RTIAL | | SOC 2 | Access controls, monitoring | PARTIAL | | ISO 27001 | Comprehensive security framework | PARTIAL |  ---  ## 11.",Vague universal / fake credential,REMOVE unless certification exists with receipt,"Replace ‘ISO 27001’, ‘SOC 2’, ‘investor-grade’ with verifiable language: ‘ISO 27001-aligned risk register’ (only if register is published), or remove entirely until audited.","Blocks enterprise sales, investor due diligence. One exposed false certification claim falsifies the rest of the deck."
C00339,Unsubstantiated certification,docs/ENTERPRISE_IMPLEMENTATION_BLUEPRINT.md,,"ry | defined process, QA, CM, measurement, risk control | | SOC 2 Type II | target | access control, monitoring, change manag",Vague universal / fake credential,REMOVE unless certification exists with receipt,"Replace ‘ISO 27001’, ‘SOC 2’, ‘investor-grade’ with verifiable language: ‘ISO 27001-aligned risk register’ (only if register is published), or remove entirely until audited.","Blocks enterprise sales, investor due diligence. One exposed false certification claim falsifies the rest of the deck."
C00345,AGI claim,docs/KERNEL.md,,Kernel  **Mission:** BIZRA is a decentralized developmental AGI operating system that turns every human into a sovereign no,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00353,AGI claim,docs/BIZRA_IDENTITY_CANON.md,,"namic Self-Harnessing, Self-RLVR, Distributed Decentralized AGI Operating System**  Every word is a technical specification",AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00354,AGI claim,docs/BIZRA_IDENTITY_CANON.md,,"ride | `constants.py:602` — `SAT_AGENTS_PER_NODE = 5` | | **AGI** | 7-agent PAT ensemble, 47-state HHMM, Graph-of-Thoughts,",AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00374,AGI claim,docs/BIZRA_STRATEGY_DECK_2026.md,,---  # 🌱 BIZRA STRATEGY DECK ## **Distributed Decentralized AGI Operating System**  **بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيم,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00375,AGI claim,docs/BIZRA_STRATEGY_DECK_2026.md,,"or ""seed"") is the world's first **Distributed Decentralized AGI Operating System** that:  | Problem | BIZRA Solution | Veri",AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00376,AGI claim,docs/BIZRA_STRATEGY_DECK_2026.md,,slamic finance institutions | $28B | Only Shariah-compliant AGI OS | | Sovereign nations (data laws) | $35B | Full GDPR/sov,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00377,AGI claim,docs/BIZRA_STRATEGY_DECK_2026.md,,--  # THE SHARIAH ADVANTAGE  ## 2B+ Muslims. Zero Compliant AGI Platforms.  ### Market Reality  | Statistic | Value | |----,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00378,AGI claim,docs/BIZRA_STRATEGY_DECK_2026.md,,GUMENT  ## Why BIZRA Will Win  1. **First Mover in Verified AGI**: No competitor has kernel-level ethical constraints 2. **,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00379,Cryptographic-finality claim,docs/BIZRA_STRATEGY_DECK_2026.md,,"--  # THE THREE KERNEL INVARIANTS  ## Hardcoded. Immutable. Unbreakable.  ```python # ⛔ THESE CANNOT BE OVERRIDDEN BY ANY AI, ANY I",Sovereignty / security absolutism,REWRITE with scope qualifier,"Replace ‘unbreakable’, ‘quantum-safe’, ‘cryptographically final’ with scoped language: ‘Ed25519-signed receipts with BLAKE3-chained previous-hash references; not a substitute for operational key hygiene.’",Breaks down under any third-party security review. Cryptographic absolutes are a red flag to auditors.
C00401,Unsubstantiated certification,docs/QUALITY_ASSURANCE_STRATEGY.md,,n - quarterly penetration test - annual external review for SOC 2 scope  ## 8. Compliance Verification  Evidence required:  -,Vague universal / fake credential,REMOVE unless certification exists with receipt,"Replace ‘ISO 27001’, ‘SOC 2’, ‘investor-grade’ with verifiable language: ‘ISO 27001-aligned risk register’ (only if register is published), or remove entirely until audited.","Blocks enterprise sales, investor due diligence. One exposed false certification claim falsifies the rest of the deck."
C00418,AGI claim,docs/DDAGI_CONSTITUTION_v1.1.0-FINAL.md,,║ # ║            Distributed Decentralized AGI Operating System (DDAGI OS)         ║ # ╠══════════════════,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00419,AGI claim,docs/DDAGI_CONSTITUTION_v1.1.0-FINAL.md,,"is an operating system for human sovereignty in the age of AGI,   enforced by consent, verified by evidence, and governed",AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00420,AGI claim,docs/DDAGI_CONSTITUTION_v1.1.0-FINAL.md,,perations within the BIZRA ecosystem.  **RECOGNIZING** that artificial general intelligence is not a distant dream but an emergent reality requiring ca,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00421,AGI claim,docs/DDAGI_CONSTITUTION_v1.1.0-FINAL.md,,hing;  **REJECTING** both reckless acceleration that treats AGI as extraction tool and fearful deceleration that treats AGI,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00422,AGI claim,docs/DDAGI_CONSTITUTION_v1.1.0-FINAL.md,,AGI as extraction tool and fearful deceleration that treats AGI as existential threat;  **EMBRACING** the Third Fact: that,AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
C00423,AGI claim,docs/DDAGI_CONSTITUTION_v1.1.0-FINAL.md,,"to serving the vision of human flourishing through ethical artificial general intelligence, and to tending this garden with إحسان in all things.  ---",AI capability overclaim,REMOVE or rewrite to directional language,"Replace superlatives (‘AGI’, ‘will surpass humans’, ‘general intelligence’) with grounded language describing the actual system: ‘goal-directed agent with verified constitutional gates’.",Blocks paid ads on Meta/Google/LinkedIn (AI-capability policy). Blocks enterprise RFPs. Triggers press fact-check requests.
