mission_id,archetype,jtbd,current_workaround,what_breaks_today,proof_required,why_bizra_better,why_bizra_not_better_yet,business_model,universality,pain,trust_leverage,speed_to_bullet,receipt_marketing_strength,total_score,notes
M01,A1/A3,Prove my AI agent actually produced this output,Screenshot + timestamp + raw paste,Screenshots are forgeable; no cryptographic binding; vendors do not sign,Cryptographic receipt with signed payload + chain head,Direct doctrinal fit (S6 receipt + S8 replay); Row 4 PROVEN,Receipt schema not yet rendered in a user-friendly viewer,local_binary + output_as_a_service,5,4,5,5,5,24,"Highest-leverage mission. Receipt IS the marketing. Matches PR #49 / PR #50 capability today."
M02,A1/A8,Run AI on my own hardware without uploading my data,Ollama + manual scripts,No governance layer; no replayable proof; no shared face,Local inference + local chain + offline-first flag,Dema runs local-first by doctrine; tiered inference gateway documented,Tiered inference gateway still documented not end-to-end demonstrated,local_binary,5,4,3,4,3,19,"Dominant real signal (Signal/ProtonMail analog). But sovereignty-as-such is vague; needs a specific mission to anchor it."
M03,A1/A3/A7,Replay a prior AI decision to verify it later,Keep raw logs; hope nothing got lost,Logs are not signed; LLMs are non-deterministic; no canonical replay path,Deterministic replay + cryptographic binding of inputs,Row 4 PROVEN 2026-04-21; canonical spearpoint replay test end-to-end,Replay only exposed as test harness; no CLI surface dema mission replay yet,local_binary + output_as_a_service,4,4,5,4,5,22,"The external-user equivalent of the spearpoint test. Needs CLI exposure to become a product."
M04,A3/A8,Package my domain expertise as a billable AI agent,LangChain prompt templates + Stripe checkout,No provenance; no per-output billing; no proof the agent followed the packaged skill,Skill package manifest + execution receipt + audit trail,Three-pillar fusion covers skill + proof + value; SEED/BLOOM architected,Skill-packaging surface not built; no monetization rails today (SEED frozen),agent_as_a_service + output_as_a_service,4,4,4,2,4,18,"Big market signal (Claude Skills trajectory). BIZRA doctrine covers it but runtime does not yet. Speed-to-bullet LOW."
M05,A1/A2,Submit a task to my AI and get a receipt,ChatGPT copy-paste; no proof anything happened,No mission lifecycle visible to user; no end-of-action artifact,Mission envelope -> receipt,Mission Control Plane 14-state lifecycle exists in bizra-mission crate,dema mission submit CLI surface not wired to the gateway end-to-end,local_binary,5,4,5,3,5,22,"The flagship mission. If this works end-to-end in dema CLI, everything else follows."
M06,A3/A7,Verify an AI agent's output without trusting the vendor,Ask for vendor sign-off that does not exist,Vendors do not sign outputs; no independent verification path,Signed receipt with canonical payload; verifier tool,MissionReceipt signs full payload (PR #50); tampering detectable,verify_signature exposed as test only; no dema verify CLI yet,local_binary + output_as_a_service,4,4,5,4,5,22,"Complements M01 and M03. PR #50 is the substrate."
M07,A5/A7,Demonstrate to regulators that our AI decisions are auditable,PDF printouts of chat transcripts; compliance theater,Transcripts are not evidence; no chain; no canonical form,Canonical receipt chain with immutable hash linkage,BLAKE3-chained receipts; five invariants enforced fail-closed,Enterprise features (multi-user, audit export, SOC2) absent,enterprise_governance,3,5,5,1,4,18,"High business-model fit but long sales cycle. NOT first wedge. Parking lot."
M08,A1/A2,Run AI offline during travel or in sensitive environments,Download a local LLM; no governance,No audit trail; no local chain; switching cost between local/cloud,Offline-first canonical chain; local inference only,Doctrinally covered; offline-first invariant in CANON-TERMS.md,No single offline-mode flag or artifact; config-level only,local_binary,3,3,3,4,3,16,"Real sovereignty pain but secondary to M01/M03/M05."
M09,A1/A2,Keep my personal files AI-accessible without cloud upload,Dropbox + vector-db; cloud round-trip,Data leaves machine; indexes rebuilt on upload; privacy-leak risk,Local FAISS index over 04_GOLD corpus; chain-referenced,CLAUDE.md documents local FAISS + GOLD corpus pipeline; partially wired,Personal files ingestion CLI not yet unified under Dema,local_binary,4,4,3,2,2,15,"Universal but BIZRA runtime is not the ingestion story today. Parking lot."
M10,A3/A8,Build a workflow where each AI step produces a receipt,Glue code + logs + hope,No shared receipt format across steps; no chain,Mission composition that chains receipts end-to-end,Mission Control Plane supports chained missions,Chained-mission CLI surface and ergonomics undemonstrated,local_binary + agent_as_a_service,3,4,5,2,4,18,"Compelling but second-order — needs M05 first."
M11,A3,Show a customer a signed record of what the AI did for them,Emailed summary; screenshots,No trust anchor; no portable proof,Portable receipt JSON with chain ref; optional verifier URL,Receipt is designed to be portable; PR #50 makes it tamper-evident,No friendly receipt viewer; sharing ergonomics undefined,output_as_a_service,4,4,5,3,5,21,"Receipt-as-marketing sweet spot. Adjacent to M01."
M12,A3/A4,Detect when an AI agent claims to have done X but did not,Manual spot-check; no systematic detection,Claim vs evidence gap is invisible,ZANN_ZERO + CLAIM_MUST_BIND gates; FATE verification,Five invariants specifically target this; documented in CANON-TERMS.md,Gate outputs not yet surfaced to operator in Dema,local_binary,3,5,5,3,4,20,"Strong doctrinal fit. Story: BIZRA refused to let your agent lie."
M13,A4/A5,Govern multiple AI agents with one shared constitution,Custom prompt injection + policy engines,No shared gate enforcement across vendors; no per-action proof,Constitutional gate chain + receipt per delegated call,Canonical 5-gate chain; runtime PROVEN (row 2 VALIDATED),Multi-agent orchestration surface planned not shipped,enterprise_governance + agent_as_a_service,3,4,5,1,3,16,"Future wedge after M01-M06 ship."
M14,A5/A7,Preserve AI decisions as legal-grade evidence,Snapshot + notarization; costly and manual,Non-deterministic outputs are not reproducible; no cryptographic binding,Chain-anchored receipts with replay proof,BLAKE3-chained + Ed25519-signed; replayable post-restart,Legal export format and retention policy undefined,enterprise_governance,2,5,5,1,4,17,"High trust leverage but narrow. Parking lot."
M15,A6,Onboard a new AI agent by granting it signed capabilities,Prompt engineering + hope,No capability grants; no revocation; no provenance of what was granted,IdentityRegistry + signed capability grants,PAT-7 / SAT-5 planned not yet runtime-wired,agent_as_a_service,3,3,4,1,3,14,"Future-facing. Parking lot until agent actors spawn."
M16,A1/A8,Migrate away from Claude/OpenAI gradually without breaking workflow,Swap backends; rewrite prompts; pray,No abstraction layer; no receipted record of equivalence,Tiered inference gateway + receipted behavior equivalence tests,Tiered gateway documented; equivalence tests not yet canonical,local_binary,4,4,3,3,3,17,"Real pain but BIZRA is not pitched as a compatibility shim today."
M17,A3/A6,Monetize AI work via verifiable output artifacts,Stripe + screenshots,No portable proof; no per-output billing model,Receipt-bound output + external verifier,Output-as-a-service architecturally possible; SEED/BLOOM frozen,Payments + verification rails not built; token layer frozen per canon,output_as_a_service,3,4,4,1,5,17,"Great narrative but depends on future token layer. Parking lot."
M18,A4/A5,Prove that an AI recommendation followed our internal policies,Code review of prompts; policy sprawl,Policies are not enforced at runtime; after-the-fact checks only,Constitutional policy gates + signed outcome,5-gate chain enforces; outcome receipted,Custom policy injection path undefined,enterprise_governance,3,4,5,2,4,18,"Strong enterprise fit; low first-wedge priority."
M19,A1/A2,Get a daily AI-assisted digest of my work with proof chain,Manual journaling; AI summary in notes app,No provenance; no chain; digests drift,Daily manifest seal + receipt chain (Row 5 WIRED_PARTIAL),Daily manifest scheduler missing; per-mission manifest exists,local_binary,4,3,4,3,4,18,"Second-wave mission after M01 and Row 5 scheduler ships."
M20,A6,Authenticate my mission-receipt chain on a new device,Copy files manually,No canonical portable identity format; key management ad hoc,Signed principal identity + chain portable via FS,Node0 sovereign origin sealed (memory: BIZRA-641A1D00 2026-04-21),Multi-device sync not built,local_binary,3,3,4,2,3,15,"Future. Parking lot."
M21,A1/A5,Require IHSAN >= 0.95 before publishing AI-drafted content,Manual review; inconsistent,No systematic quality gate; vendors do not expose signal,IHSAN_FLOOR enforced fail-closed in runtime,IHSAN band displayed in trust surface (Row 6 WIRED-local),local_binary,3,4,5,3,4,19,"Compelling story: your content has a quality seal."
M22,A7,Audit an AI coding agent's commits before merge,PR review; GitHub Actions; smoke tests,No provenance for why the agent made a change; replay impossible,Code-mission receipt + replay + IHSAN band on commit,Possible doctrinally; not a shipped CLI surface,agent_as_a_service + enterprise_governance,3,4,5,2,4,18,"Compelling but requires IDE/CI integration BIZRA does not have yet."
M23,A3,Share a verifiable AI output with a skeptical collaborator,Screenshots; LLM screenshotting; trust-me-bro,Collaborator can not verify independently,Receipt JSON + independent verifier,PR #50 makes tampering detectable; verify_signature exists,No shareable web viewer yet (Row 6 branch-local),output_as_a_service,3,4,5,3,5,20,"Adjacent to M11. Verifier URL would anchor this."
M24,A2/A4,Validate an AI's research citations before I cite them,Click each link; manual spot-check,Citations are often hallucinated; no per-citation provenance,Citation-mission with evidence-binding gate,Evidence auditor exists in core/proof_engine; not a user-facing tool,local_binary,4,5,5,2,4,20,"Universal pain, strong story. Needs evidence-auditor UX."
M25,A1/A6,Configure my AI to reject missions that violate my principles,Prompt rules; system-prompt maze; brittle,No constitutional override; rules are stringly-typed,Constitutional personalization + frozen anchor semantics,Frozen anchor doctrine in al-mithaq-al-tasisi.md; runtime hooks exist,Personalization UX not built,local_binary + agent_as_a_service,3,3,4,2,3,15,"Ideology-first users love it; others will not even parse it."
M26,A2,Run my personal AI on this laptop with zero cloud dependency,Ollama + scripts; chaos,No unified face; no governance; chaotic,Dema CLI + local inference + local chain,Dema CLI has activate-principal + chain today; mission submit gap,local_binary,4,4,3,3,3,17,"Overlaps M02 + M08. Real but diffuse."
M27,A5/A7,Detect tampering in a prior receipt chain,Trust backups; no detection,BLAKE3 can detect tampering but no user-facing check,verify_hash + verify_signature + chain verifier,Row 2 VALIDATED gate chain fail-closed,User-facing verify CLI not wired,local_binary,3,4,5,3,4,19,"Great demo: tamper a receipt; tool flags it. Receipt-as-marketing gold."
M28,A1/A6,Get cryptographic proof my AI did not leak data to any cloud,Network logs + paranoia,No positive proof of non-leak; local inference only approach,Local-first invariant + receipt does not reference network calls,Sovereignty doctrine; partial wiring,local_binary,3,3,3,2,3,14,"Hard to prove a negative; weaker mission than M01/M03."
M29,A3/A4,Accept an AI output only if it passes a Daughter Test,Ad-hoc self-review,No codified quality + dignity gate,Daughter Test design heuristic (CANON-TERMS.md)",Design-heuristic not yet a runtime gate,local_binary,2,3,4,1,2,12,"Doctrine-specific; not a universal mission. Low priority."
