row_id,candidate_type,cluster_id,candidate_id,content,entity,predicate,supporting_count,provenance_conversation_uuids,provenance_earliest,provenance_most_recent,source_lane,review_status,reviewer_notes,promote_to_canon
R000237,decision,00e9388b00e795b5,b17ec9eab22842d9,"Use incremental plan evaluation to avoid re-checking unchanged conditions
- Introduce parallel plan assessment for multiple applicable plans

#### 1.",,,1,f9bbe910-25bf-42b2-b5da-013a03754b53,2025-05-30T18:54:50.529131Z,2025-05-30T18:54:50.529131Z,claude,pending_review,,
R000238,decision,045d8d1d01593f2f,fa658174b64c3d9f,Use diagramming tools to communicate architecture visually.,,,1,d51a9d0b-b871-4621-9c04-46a20013fb2f,2025-03-14T14:13:29.108759Z,2025-03-14T14:13:29.108759Z,claude,pending_review,,
R000239,decision,062153176bc53105,cf3744f91c880656,Use a staged deployment plan.,,,1,33424d69-38ba-4e66-83c3-965ef5ad0470,2026-02-21T20:58:53.188346Z,2026-02-21T20:58:53.188346Z,claude,pending_review,,
R000240,decision,063b675d672ffe60,d1459447b9564fb2,Use divergent thinking to generate fresh ideas in your next brainstorm https://www.,,,1,8329afc7-96f0-475b-b4f9-a7bc7b8be7a8,2025-04-02T14:58:03.618796Z,2025-04-02T14:58:03.618796Z,claude,pending_review,,
R000241,decision,0688c7ab525a5121,6bdf8a7076985cdb,Choose project-level or user-level scope.,,,1,f86e151d-623b-4b29-a7ab-9246254d44a8,2026-02-17T22:51:53.723162Z,2026-02-17T22:51:53.723162Z,claude,pending_review,,
R000242,decision,0bd3416cc73d3c8d,d696f59b1b0f6357,"Use selected agent's preferred_model for model routing
Track which agent is responding for conversation memory
Prong 2: Genesis Ceremony CLI (~200 lines)

Add genesis command to __main__.",,,1,73861e4f-bd79-4885-af3a-8f7f63cd9ebf,2026-02-15T17:34:02.887314Z,2026-02-15T17:34:02.887314Z,claude,pending_review,,
R000243,decision,0cf3e526674931db,5bc6d87ddc035d9a,"Use for analyzing code, text files, or configs.",,,1,ca47bfe1-a333-4bfc-b212-facc024c7b0f,2025-04-13T01:09:49.057376Z,2025-04-13T01:09:49.057376Z,claude,pending_review,,
R000244,decision,0ffe03e6ac634fa8,789990a00267f48e,Use whichever of my integrations that make sense.,,,2,6700c57e-310f-4cfc-af6f-ba499258def5|8a29abd1-03b7-4d79-859f-2b5ec7cd8c77,2025-06-25T00:43:29.015376Z,2025-07-25T09:13:35.239830Z,claude,pending_review,,
R000245,decision,11dc5faef794ec1d,e0846ce59bf26dcc,"Adopt agentic AI architecture for autonomous task forces[12]  

### Phase 2: Ecosystem Integration (Q4 2025-Q1 2026)  
1.",,,1,898aaee5-079d-4afb-9437-b4bcb09e1da3,2025-03-31T08:38:52.871170Z,2025-03-31T08:38:52.871170Z,claude,pending_review,,
R000246,decision,14e0b5882d9a4162,cf451e889c7c45dd,"Let's craft them as the peak masterpiece, state-of-the-art performance, professional multi-master expert professional, crypto masterminds, and polymath think tank and taskforce agent team powered by the peak masterpiece, state-of-the-art performance, and professional logical next steps.",,,1,3aa1d43d-a74e-4d47-a8f3-062d4102635d,2025-06-05T05:52:25.883264Z,2025-06-05T05:52:25.883264Z,claude,pending_review,,
