canon_entry_id,source_candidate_id,candidate_type,cluster_id,content,entity,predicate,supporting_count,provenance_source_lane,provenance_conversation_uuids,provenance_earliest,provenance_most_recent,review_status,reviewer_notes,promoted_at,promoter,origin_run_id
0fbc12dd20ccd492633d70997021b89b,6c0209cd2275678c,fact,b2d31175a2eac913,"Spec is the source of truth, not conversation history.",spec,"source of truth, not conversation history",2,claude,f86e151d-623b-4b29-a7ab-9246254d44a8,2026-02-17T22:51:53.723162Z,2026-02-17T22:51:53.723162Z,approved,Strong engineering/canon discipline principle with supporting_count=2. Spec is source of truth over conversation history; this protects against memory drift and chat-history overreach.,2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
117590b7ad0e07613ca675e2d88d5695,320ebc6afa125a6e,fact,2648e70452bf481b,BIZRA is a standalone **Distributed Decentralized Artificial General Intelligence Operating System**.,bizra,standalone **distributed decentralized artificial general intelligence operating,3,claude,5bd74831-8d56-4ed4-9005-c5fe2cd0ea77,2026-03-13T18:06:29.947011Z,2026-03-13T18:06:56.455469Z,approved,"Strong canonical candidate with supporting_count=3. Defines BIZRA as a standalone distributed decentralized AGI operating system, aligned with the sovereign OS direction. Promote as high-level identity statement.",2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
13c57b1d4a9d53ee93fa832ae621a4f5,f36046bc50834dda,fact,02d559e1d41ce3a6,"BIZRA is a constitutional intelligence substrate whose purpose is to convert intent into evidence-bearing, ethically gated action.",bizra,constitutional intelligence substrate whose purpose is to convert intent into ev,1,claude,798d9c06-9f6b-4980-b219-2c2ea4d74162,2026-04-01T02:28:11.599326Z,2026-04-01T02:28:11.599326Z,approved,"Strong canonical candidate. Defines BIZRA as a constitutional intelligence substrate and ties the system purpose to intent, evidence, ethical gates, and action. Promote despite supporting_count=1 because it matches the core constitutional spine.",2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
4629f734eb963a7c2abaab881207f706,984b506219eff5ad,fact,9be6e8b76c801a51,Genesis is a one-time ceremony — throughput optimization is not relevant.,genesis,one-time ceremony — throughput optimization is not relevant,1,claude,73861e4f-bd79-4885-af3a-8f7f63cd9ebf,2026-02-15T17:14:25.536051Z,2026-02-15T17:14:25.536051Z,approved,Strong Genesis doctrine statement. Clarifies that Genesis is a one-time ceremony and should not be optimized as a normal throughput path. Promote as a lifecycle/canonical ceremony rule.,2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
6351aaee29644d913b47de8f1f36c551,d5bd3762cb137ae5,fact,6bc3e1338e94bc08,"Node0 is the origin, not the controller.",node0,"origin, not the controller",1,claude,b4abfb40-a332-4314-8cdb-58c7cac6e174,2026-04-12T12:28:04.546887Z,2026-04-12T12:28:04.546887Z,approved,"Strong canonical Node0 principle. Defines Node0 as origin rather than controller, aligning with decentralization and anti-central-authority design.",2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
70a26e1f6f4f500bb5c872e903bc7620,fe2fb762f6e57eae,fact,ef1fdfa8ad3402dc,"SCM is a proxy for cognitive structure, not a ground-truth measure of ""consciousness"" or ""general intelligence.",scm,"proxy for cognitive structure, not a ground-truth measure of ""consciousness"" or",1,claude,67efac05-d051-4cc8-83f3-b19f760656db,2025-11-19T13:08:16.039762Z,2025-11-19T13:08:16.039762Z,approved,"Strong epistemic-honesty principle. SCM is a proxy for cognitive structure, not ground-truth consciousness or general intelligence. Promote as measurement-discipline canon.",2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
a4add5ae11521058517c4c242cd0c706,af4f44c0ff20c3db,fact,9386f2c10e37018d,Cloud is a tool; sovereignty is non-negotiable.,cloud,tool; sovereignty is non-negotiable,1,claude,b7772d5d-8cf2-45a9-b347-9b692482b9c3,2025-11-17T01:17:20.714782Z,2025-11-17T01:17:20.714782Z,approved,"Strong sovereignty principle. Concise and canon-safe: cloud may be used instrumentally, but sovereignty remains non-negotiable. Promote as an architectural/operating principle.",2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
da172ec896265669acd90c694c03944d,09b3042193d0ef60,fact,a114cb76e7e1adfe,BIZRA is an ideology-native sovereign system built around a simple rule: **it must first empower one human through one truthful node before it claims scale**.,bizra,ideology-native sovereign system built around a simple rule: **it must first emp,3,claude,5bd74831-8d56-4ed4-9005-c5fe2cd0ea77,2026-03-13T18:06:29.947011Z,2026-03-13T18:06:56.455469Z,approved,"Strong canonical BIZRA principle with supporting_count=3. Defines BIZRA as ideology-native and sovereign, anchored in the alone-first/Node0 rule: empower one human through one truthful node before claiming scale.",2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
db9560b3ac7117f07ce35eecf7cb46df,0042999c9cb6939c,fact,72c56e9fc2e8ad56,"Node0 is the archetype template, not a permanent authority server.",node0,"archetype template, not a permanent authority server",1,claude,b4abfb40-a332-4314-8cdb-58c7cac6e174,2026-04-12T12:28:04.546887Z,2026-04-12T12:28:04.546887Z,approved,"Strong canonical Node0 principle. Clarifies Node0 as archetype/template, not permanent authority server. Promotes decentralization and prevents founder/server centralization drift.",2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
edfbce8797d0427ef7823b7d59f28e0a,77c90e461befe83a,fact,6522cf37449691b9,"BIZRA is a visionary platform with the potential to transform the digital landscape by empowering individuals, democratizing AI, and fostering a more equitable and inclusive global community.",bizra,visionary platform with the potential to transform the digital landscape by empo,7,claude,84a6d99a-75b9-4dd6-a1e5-ee30c757eb6a|873c9f51-d95c-4e0c-aaa8-af90e33583be|9faf903d-5bae-40e5-9930-dfa58087dac2|edd02160-8a2b-4bd2-817b-6e926cd785f8,2024-09-14T13:06:46.411459Z,2024-09-21T04:43:06.275692Z,approved,"Strong recurring BIZRA identity/value statement with supporting_count=7. Captures empowerment, democratized AI, equity, and inclusive global community. Promote as high-level mission/vision canon, while later tightening wording for precision.",2026-04-24T02:19:54Z,bizra-operating-system,20260424T000948Z_78a12953b97a1085
